train,,
,,0
A,A,1
*,*,1
 ,"
",0
s,s,1
B ,"B
",1
  ,"

",0
 D,"
D",1
ef,ef,2
!!,!!,2
 F ,"
F
",1
T L,"T
L",2
4ps,4ps,3
q  ,"q

",1
   ,"


",0
  e,"

e",1
hi ,"hi
",2
  $  ,"

$

",1
      9,"





9",1
i !i !i !i !i,"i
!i
!i
!i
!i",9
88888888888888888888,88888888888888888888,20
                    ,"



















",0
ssssssssssssssssssss,ssssssssssssssssssss,20
1 1 1 1 1 1 1 1 1 1 ,"1
1
1
1
1
1
1
1
1
1
",10
 v v v v v v v v v v,"
v
v
v
v
v
v
v
v
v
v",10
Ha Ha Ha Ha Ha Ha Ha,"Ha
Ha
Ha
Ha
Ha
Ha
Ha",14
x y!x y!x y!x y!x y!,"x
y!x
y!x
y!x
y!x
y!",15
G5G5G5G5G5G5G5G5G5G5,G5G5G5G5G5G5G5G5G5G5,20
>_=]>_=]>_=]>_=]>_=],>_=]>_=]>_=]>_=]>_=],20
^_^ ^_^ ^_^ ^_^ ^_^ ,"^_^
^_^
^_^
^_^
^_^
",15
&@vrs 2E,"&@vrs
2E",7
"MXMk,_GMB 4`QL  vK 1","MXMk,_GMB
4`QL

vK
1",16
!~_  [ a(RZ$ /'mb,"!~_

[
a(RZ$
/'mb",13
m K.,"m
K.",3
f)-EVTndXZ2 W,"f)-EVTndXZ2
W",12
O`@? Vo) J'N,"O`@?
Vo)
J'N",10
#uulV ',"#uulV
'",6
1 di [ A|eO,"1
di
[
A|eO",8
"fY.-q ,   4V  w 9t","fY.-q
,


4V

w
9t",11
 o ,"
o
",1
 @k*5Yc~L6,"
@k*5Yc~L6",9
hU/ \x:,"hU/
\x:",6
"J`+""[   ;{  b","J`+""[


;{

b",8
 R  #K V+ ,"
R

#K
V+
",5
"T)==&cq"" ""Uf9iz""aI","T)==&cq""
""Uf9iz""aI",17
` ^-( km J  w ,"`
^-(
km
J

w
",8
: F  %5;,":
F

%5;",5
F< =R R]ZLU xKg m,"F<
=R
R]ZLU
xKg
m",13
=(`,=(`,3
\5\mJ+y4x7$#dK,\5\mJ+y4x7$#dK,14
