train_input_1,train_input_2,train_output_1
,,true
,h,true
i,,false
a,a,true
b,c,false
n,nn,true
abcde,c,false
c,abcde,true
r,mnbvccxz,false
abc,aabc,true
aabc,abcde,false
abcde,edcba,true
mo,moo,true
moo,mo,false
tree,though,false
rip,zipper,true
flipper,rip,false
hi,zipper,false
dealer,dollars,false
loud,louder,true
ccccccccc,ccccc,false
clinteastwood,oldwestaction,true
clinteastwood,ldwestaction,false
verificationcomplete,verificationcomplete,true
hahahahahahahahahaha,hhhhhhhhhhaaaaaaaaaa,true
hahahahahahahahahaha,aahhhh,false
,qwqeqrqtqyquqiqoqpqs,true
wxyz,qazwsxedcrfvtgbyhnuj,true
dddeeefffgggg,gggffggfefeededdd,true
gggffggfefeededdd,dddeeefffgggg,false
st,s,false
xslldtzvrraseboon,zsbetovxvn,false
ssvdbvsegvgcncjxilaj,jveg,false
trp,pkkt,false
hpcyyvzibgsfgbpg,zyggbvpg,false
mtfzqzfrn,tzrcfnfzmqlfm,true
flxa,faxl,true
satcmdfxbngla,pldndcqxnzqavbmfusa,false
xujlrel,felbjulx,false
sdgxudxocegzfqkpxzto,cuzggtqzzkdoj,false
zjtramvcrthxksllyc,txv,false
x,njjcohkjvvqpxk,true
jhejzdvctsdzbijtu,ijzzudkstetjhdj,false
qwktonanevoxmkmggugd,oa,false
rpamsmkhcvobe,qovmpmhrmbccesczuak,true
elmzrsriwfm,zfwiyvfkwrvzryemmblm,false
xymecwk,hjwtiaxytemck,true
min,mgcxniuhfju,true
scyqvjwipxcampx,mjkprybapcvpqmywahvx,false
tsmmquqjeyma,muwdqejkpeysamjtq,false
rhtl,rljthtvjxl,true
erpcpqnegu,uepjcqnejrzb,false
sbzh,zbkhs,true
fjpvwb,fypvgbuypuxwumyyjy,true
ndji,ndijwj,true
zeorfaqtod,ofazr,false
bhkk,khbhek,true
kgsv,cxhygrsrxcvgbyix,false
yunddgp,eddpgqlyun,true
tz,tf,false
e,iti,false
w,bxvueeyeumwc,true
bvol,bkloteylobmvg,true
uxrjsilvblmaww,iwsuxblxjmvalnuwr,true
dyrhyeo,eohdhoyi,false
wisvbkim,jsbkwjmiiv,true
unsacjxmgiju,iasgxn,false
utbs,dxoqsipbt,false
hlbunrixhbpxnnoknpl,lunwlnkpbrxonnb,false
t,zmvcwtf,true
pkhwc,khwsfpc,true
ywbquz,uukzdeggqwzwjqq,false
da,xaxlqcpjppvdoxzw,true
rqtt,trq,false
ccrbpyhi,cbhirpiy,false
bhvtypjjehuia,jtavebjiyhugp,false
d,qud,true
zlqkccoxxizpjcim,xzjqmoeiccxlcp,false
bopdpueh,ubpopgzuheki,false
ie,mpkroysdeyiigfwv,true
mtynvhehwwjku,wyhskchmelnvwguh,false
nan,nann,true
zdqmsxp,xsqdz,false
g,bswtrnybiwcogmtg,true
rc,cr,true
h,gdeorgh,true
tlkclmdswp,twhnclqslmbgkpmd,true
blsbjn,jbsbln,true
d,rdmfxpk,true
r,r,true
xoouggvpsqspoa,ounoaqpgpsovxblgdv,false
oighwniaktrtkk,thak,false
ldegvybham,gbamy,false
xxlphkjzoavtm,zkzxtxtpjhmav,false
yb,by,true
aqrkfdt,t,false
mdekkzfsi,imzekft,false
f,t,false
w,wz,true
odkwm,wdopm,false
y,dmiuyewsxjiaeh,true
qbsebamx,bszaeqnsvxbevm,true
aypmer,rakmepcvxy,true
rkl,aklpart,true
c,c,true
uxiphw,uw,false
hbpdeee,ohwveedovesawbpxaqn,true
xliymo,cuizfoxywr,false
q,mqm,true
vxoygizuqmng,igqvxyuozpmn,false
lvleiftixkxilhntu,iitihkxvxeulnllht,false
ewa,euw,false
gr,gr,true
y,iqkwx,false
nwbiisbnczd,ldwnczvnbibisr,true
jpfifmubopvacqyyvuop,ioyvqpcamufovpbpuyfj,true
qjww,pwbowq,false
xy,pterqzx,false
zaqtqy,zqkckpqcyaqtz,true
mf,imf,true
t,bteblcxxno,true
xjjtgbgmhfkczl,zhxgjlngcktjgjmffzbw,true
bdjcnzupqzi,zzngfpqjjujtndsic,false
b,bszqndbhyet,true
lgnzenuwsynmtzubh,ehntugmpnznzlwvsuy,false
xywdbpufelma,alanxpeyudbmfw,true
ayreuhp,prwworwofovymymebahu,true
aewa,eaawv,true
ujhai,ujafbhmhi,true
yh,gyhneqzkdtzvkchf,true
v,vngo,true
dtgva,fqgvtsxyk,false
c,c,true
tqueuyg,edgsyuytikqpu,true
rqavyplpmrutp,uymrvrosbpqlplp,false
kxgsedg,gsgkedx,true
i,i,true
rnqmsdfxeea,nfqsneaeduwrmxg,true
ntiunx,tnuinx,true
nago,g,false
sf,ysfr,true
czilck,cckz,false
nlnw,l,false
w,hwvnffpp,true
hexgqmojivxyaeat,ocfixfgxheateyvqjma,true
nnehyuq,qnhuyrkgctbxem,false
ozkfosq,qfkoskoz,true
pf,ufptta,true
fishxjwhbk,khwxshbj,false
ebuugwlza,zcwaugeul,false
c,ecsjybpgh,true
ees,shbjkcoxgbmuuteqteo,true
viejzannk,enzjknv,false
z,dtzcgyp,true
lrjirehstlsi,ljsorlistieht,false
pzbdfy,bdpf,false
nipojeqxxzzbl,aoxnsxejpzqilpzi,false
xhoinhzn,nnoh,false
wxnkgu,xgunkds,false
mwrqchltmcwjd,crh,false
dhuj,zhfdupormvj,true
xvkmdulwdmiy,lxvprdivmpjlmwudm,false
siqyazrtgf,ziftga,false
opyehcfnkomjvyxt,oenyvyxjmteckjphhf,false
pdxrvrhy,evkdqhxrzryr,false
u,evvuoiksoreqfeeoagoa,true
hv,klxvbxsnzh,true
ikxrm,rxmix,false
gpwayqboyo,qbgowrayy,false
x,exbz,true
ak,kaw,true
emkl,lemkegkzmr,true
y,vnhyy,true
nk,nkb,true
znjtzvnopnzckd,o,false
i,acwkrziil,true
ub,seibkzhouib,true
uubcsycswqhqlm,qmhyciulcwacusxvb,false
ogkqcqxcjsrqptgoqsah,csagn,false
futhfiajkecs,itdhfcbfsukfakjkie,true
dechkg,mkujggtewdgchs,true
ncpgtmmfb,tmmnbgftpcfebn,true
btvax,tvvkmlx,false
uw,uw,true
bfdmhlrza,zdbyl,false
a,a,true
vzgw,z,false
bm,mnlbwr,true
eokvanhgtb,gio,false
hxug,xgsguhk,true
rrnvx,rrkxjbcwnilv,true
mumserfmugiwxynszmal,lmksxiyfawenwmmr,false
jgwd,twpgdju,true
kt,ztky,true
jc,yqcjj,true
vwys,tbrsspwzwbynlv,true
ccv,gcvtqmuoc,true
b,cifb,true
c,c,true
fn,foi,false
test_input_1,test_input_2,test_output_1
