train_input_1,train_output_1
,
A,AA
!,!!!
 , 
*,*
	,	
"
","
"
"B
","BB
"
"

","

"
CD,CCDD
ef,eeff
!!,!!!!!!
q!,qq!!!
!R,!!!RR
!#,!!!#
@!,@!!!
!F!,!!!FF!!!
T$L,TT$LL
4ps,4ppss
q	 ,qq	 
!!!,!!!!!!!!!
i:!i:!i:!i:!i,ii:!!!ii:!!!ii:!!!ii:!!!ii
88888888888888888888,88888888888888888888
                    ,                    
ssssssssssssssssssss,ssssssssssssssssssssssssssssssssssssssss
!!!!!!!!!!!!!!!!!!!!,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Ha Ha Ha Ha Ha Ha Ha,HHaa HHaa HHaa HHaa HHaa HHaa HHaa
"x
y!x
y!x
y!x
y!x
y!","xx
yy!!!xx
yy!!!xx
yy!!!xx
yy!!!xx
yy!!!"
1!1!1!1!1!1!1!1!1!1!,1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!
G5G5G5G5G5G5G5G5G5G5,GG5GG5GG5GG5GG5GG5GG5GG5GG5GG5
>_=]>_=]>_=]>_=]>_=],>_=]>_=]>_=]>_=]>_=]
k!!k!!k!!k!!k!!k!!k!,kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!
"G~_TF	ve#!}vQy%""j.I","GG~_TTFF	vvee#!!!}vvQQyy%""jj.II"
y#{=n,yy#{=nn
79S5,79SS5
*L,*LL
`maYYkt.k4&s],`mmaaYYYYkktt.kk4&ss]
V433!BuPIJ]YE,VV433!!!BBuuPPIIJJ]YYEE
X.aH5B6>=OKe!?GM5,XX.aaHH5BB6>=OOKKee!!!?GGMM5
_,_
0C~$\aj,0CC~$\aajj
dpvCD,ddppvvCCDD
B2fR>k&Q,BB2ffRR>kk&QQ
y9,yy9
o/%9-RBNa8ObB`TW<evF,oo/%9-RRBBNNaa8OObbBB`TTWW<eevvFF
$fpj,$ffppjj
X>Z\4&;,XX>ZZ\4&;
grOP09,ggrrOOPP09
LRICe(KU/r|x,LLRRIICCee(KKUU/rr|xx
")g""",")gg"""
cXk4u@IWxW[x7wZ,ccXXkk4uu@IIWWxxWW[xx7wwZZ
acZaLU,aaccZZaaLLUU
CeXUkief$4+,CCeeXXUUkkiieeff$4+
=UH<C,=UUHH<CC
F!%R,FF!!!%RR
"/q[/>w-G
_e","/qq[/>ww-GG
_ee"
M=&4O=h,MM=&4OO=hh
"3)|&Wg[GV^v""","3)|&WWgg[GGVV^vv"""
9I|Y1Ti*z^!Qb8b@;LE/,9II|YY1TTii*zz^!!!QQbb8bb@;LLEE/
"rRuZ->,","rrRRuuZZ->,"
9LV60>0\ry!Zi!,9LLVV60>0\rryy!!!ZZii!!!
"d28[ *{YSu\<})""	e$","dd28[ *{YYSSuu\<})""	ee$"
=0.1;}EnDvOtw6FF1\,=0.1;}EEnnDDvvOOttww6FFFF1\
w}ap30|&-@'^(Cr,ww}aapp30|&-@'^(CCrr
78=96,78=96
"wf>O0qLJeX7G2n""[Tz","wwff>OO0qqLLJJeeXX7GG2nn""[TTzz"
Zz=EulJZ?,ZZzz=EEuullJJZZ?
"l<dG$5	uTr(O,v;","ll<ddGG$5	uuTTrr(OO,vv;"
"Gioe*jP52'L{,","GGiiooee*jjPP52'LL{,"
ipRd[~wV])),iippRRdd[~wwVV]))
.CdE,.CCddEE
"Q
h0^v`EzWa*x5l?bV]","QQ
hh0^vv`EEzzWWaa*xx5ll?bbVV]"
"XRzdo>Gun
F$`gQL_/","XXRRzzddoo>GGuunn
FF$`ggQQLL_/"
;GTcyli+pe`u;n,;GGTTccyyllii+ppee`uu;nn
}L:8>HB:s1vg%1+	;,}LL:8>HHBB:ss1vvgg%1+	;
37|teuU,37|tteeuuUU
P.@U?7ji,PP.@UU?7jjii
"zry""ILqdRXKV(","zzrryy""IILLqqddRRXXKKVV("
"~ZVC*:/V<
C7S","~ZZVVCC*:/VV<
CC7SS"
AQG~,AAQQGG~
QJ wQrXT}E!,QQJJ wwQQrrXXTT}EE!!!
>*0YL|k~cfCv[2	'Q6,>*0YYLL|kk~ccffCCvv[2	'QQ6
*&|QNIklHEc{:w),*&|QQNNIIkkllHHEEcc{:ww)
K?IN^,KK?IINN^
 w!;4TUi(g'(tcP, ww!!!;4TTUUii(gg'(ttccPP
h@\: ]+*6t?b,hh@\: ]+*6tt?bb
;%>+E\wT4OMFzn,;%>+EE\wwTT4OOMMFFzznn
V3(P,VV3(PP
lvOP,llvvOOPP
EsD=:L`co,EEssDD=:LL`ccoo
}\5,}\5
J`|^X1UR,JJ`|^XX1UURR
"RQN^Y%RcnR L""{Vn","RRQQNN^YY%RRccnnRR LL""{VVnn"
",p:.WpQn>Y[jzLd w",",pp:.WWppQQnn>YY[jjzzLLdd ww"
)?MJXj?/#,)?MMJJXXjj?/#
efp?Kh,eeffpp?KKhh
yJ*%p541K]1? ,yyJJ*%pp541KK]1? 
"T()=!2ws~W,$","TT()=!!!2wwss~WW,$"
{0jcZ*Bi],{0jjccZZ*BBii]
i;H9k[0g;=IkrS3,ii;HH9kk[0gg;=IIkkrrSS3
test_input_1,test_output_1
r,rr
">]Y&2InuQ%PY
a)\",">]YY&2IInnuuQQ%PPYY
aa)\"
cOUKi).[3'L8NgI!C8'6,ccOOUUKKii).[3'LL8NNggII!!!CC8'6
"/""2vL!T","/""2vvLL!!!TT"
vT.*=vN,vvTT.*=vvNN
z?Ilh'I!z,zz?IIllhh'II!!!zz
RN8ZA,RRNN8ZZAA
YXyWa|5NpBsSi),YYXXyyWWaa|5NNppBBssSSii)
4^(M#Q@zW L_+,4^(MM#QQ@zzWW LL_+
aj;	 `G,aajj;	 `GG
qu#bKI!C;>NAU/B,qquu#bbKKII!!!CC;>NNAAUU/BB
I(|((N,II(|((NN
f# bu?[^I1YX0y;m,ff# bbuu?[^II1YYXX0yy;mm
.ixWNxpxNW#6f4;,.iixxWWNNxxppxxNNWW#6ff4;
J?qm.Jb:;-8e[}+Q$f,JJ?qqmm.JJbb:;-8ee[}+QQ$ff
l~aMLx_!`@^,ll~aaMMLLxx_!!!`@^
<Uc,<UUcc
"e
,[1g)*4","ee
,[1gg)*4"
2I,2II
$z^,$zz^
O-klle3TfH,OO-kkllllee3TTffHH
8lVVp,8llVVVVpp
3! H,3!!! HH
Ly}/0}1|{@bZ_K=,LLyy}/0}1|{@bbZZ_KK=
&Pz,&PPzz
"w,iy	MGl,%_^$bm","ww,iiyy	MMGGll,%_^$bbmm"
"RnG	AOg

08lok>BAg","RRnnGG	AAOOgg

08llookk>BBAAgg"
D,DD
hwyT~;KyE>6R-E5976,hhwwyyTT~;KKyyEE>6RR-EE5976
#<wZz\sP,#<wwZZzz\ssPP
"sA/r=6-F@6#^3:,","ssAA/rr=6-FF@6#^3:,"
t]KwoM6gw4ai[t,tt]KKwwooMM6ggww4aaii[tt
fycDil^bA4+HdaC,ffyyccDDiill^bbAA4+HHddaaCC
N0+	E?*dDN,NN0+	EE?*ddDDNN
O62kp~E^]n	F,OO62kkpp~EE^]nn	FF
YO,YYOO
jm'tJF`F\C!V,jjmm'ttJJFF`FF\CC!!!VV
J,JJ
"%!;I{S>""rs""64Y|}~","%!!!;II{SS>""rrss""64YY|}~"
">[}QV,
C	Z",">[}QQVV,
CC	ZZ"
T4ylT5oopY;^Ka_a5,TT4yyllTT5ooooppYY;^KKaa_aa5
"Dk_m_&tL>

thc'","DDkk_mm_&ttLL>

tthhcc'"
<2,<2
Ej+z: eczi,EEjj+zz: eecczzii
|9r45/,|9rr45/
"/""'ZE","/""'ZZEE"
xF>&7KOUXx?\,xxFF>&7KKOOUUXXxx?\
"
W5n1rB@v/uBqS6d1","
WW5nn1rrBB@vv/uuBBqqSS6dd1"
"+esh		(GV-PV8
","+eesshh		(GGVV-PPVV8
"
p:D`N8\1LOW/,pp:DD`NN8\1LLOOWW/
"&s[
1P}(T)a8?uBP9}S","&ss[
1PP}(TT)aa8?uuBBPP9}SS"
bJ*tH6MMJHBh'Gky*],bbJJ*ttHH6MMMMJJHHBBhh'GGkkyy*]
US=S/0x\vS=ynH/9,UUSS=SS/0xx\vvSS=yynnHH/9
@a,@aa
UKZ	>n+%y(	W^{,UUKKZZ	>nn+%yy(	WW^{
.+oh)P(ulaUW:&>bKZ,.+oohh)PP(uullaaUUWW:&>bbKKZZ
pZefjv3/]{F,ppZZeeffjjvv3/]{FF
>9[<o,>9[<oo
"&j>
(z","&jj>
(zz"
=w^{T,=ww^{TT
"C
i0h2!b6","CC
ii0hh2!!!bb6"
"P.n>s
","PP.nn>ss
"
%,%
S}+oJ(,SS}+ooJJ(
H_,HH_
xt5%j=Ivh<K|0.!Q8,xxtt5%jj=IIvvhh<KK|0.!!!QQ8
"xf7m!N""+fS","xxff7mm!!!NN""+ffSS"
",?iStT}b",",?iiSSttTT}bb"
&Qd|e\wK,&QQdd|ee\wwKK
"wEkS"">FqwNjpMfJ5","wwEEkkSS"">FFqqwwNNjjppMMffJJ5"
!zjTl	fFsi4]c=h,!!!zzjjTTll	ffFFssii4]cc=hh
BKv05cJ>+~s,BBKKvv05ccJJ>+~ss
"HLd
","HHLLdd
"
'm2jH<e,'mm2jjHH<ee
X):G,XX):GG
"zvQ
76[[,}a","zzvvQQ
76[[,}aa"
YSX!].o,YYSSXX!!!].oo
"<}4dHr9OILP
~gdN!","<}4ddHHrr9OOIILLPP
~ggddNN!!!"
M|%%=Dk<`*MV,MM|%%=DDkk<`*MMVV
 +0e)~M4, +0ee)~MM4
~,~
KN7@{7?e>e=Xq7G3K9o#,KKNN7@{7?ee>ee=XXqq7GG3KK9oo#
'-_8##A[-z2yLtcq,'-_8##AA[-zz2yyLLttccqq
J,JJ
8<rk!qnf5Qu;~)q,8<rrkk!!!qqnnff5QQuu;~)qq
thCZ<,tthhCCZZ<
"XRCNJ8(+rG:
M&","XXRRCCNNJJ8(+rrGG:
MM&"
",32-{	*\ze""B5'",",32-{	*\zzee""BB5'"
/S*D2/p6~TZN+X[,/SS*DD2/pp6~TTZZNN+XX[
"N =|],kZ5]>","NN =|],kkZZ5]>"
JA+OuKXcT]ZUp0Wo^,JJAA+OOuuKKXXccTT]ZZUUpp0WWoo^
&#\2GQ3..@@,&#\2GGQQ3..@@
4p|,4pp|
""")1FZ {{",""")1FFZZ {{"
2!q{Rrq0,2!!!qq{RRrrqq0
ikt	m4~?e7!@eT,iikktt	mm4~?ee7!!!@eeTT
"YqFK<J""","YYqqFFKK<JJ"""
1e,1ee
"hJ 
","hhJJ 
"
p3N`-WRx~hQFv,pp3NN`-WWRRxx~hhQQFFvv
	[Jsf<U)Z1H^I,	[JJssff<UU)ZZ1HH^II
"
,pWmjSI?]}mh0[}eV|V","
,ppWWmmjjSSII?]}mmhh0[}eeVV|VV"
"/'1SW\J=!)A|VD_{Is<,","/'1SSWW\JJ=!!!)AA|VVDD_{IIss<,"
5hzoT;/dAQ( 5m,5hhzzooTT;/ddAAQQ( 5mm
"DddfmSEars""7Gf","DDddddffmmSSEEaarrss""7GGff"
cWyX\g Q9G&rax> ,ccWWyyXX\gg QQ9GG&rraaxx> 
w]yg*AK]4,ww]yygg*AAKK]4
mPHr'd~6FT-r;+YT4,mmPPHHrr'dd~6FFTT-rr;+YYTT4
rxDP.*C8d#-y(^J1m^z*,rrxxDDPP.*CC8dd#-yy(^JJ1mm^zz*
0Y[dS9cJ/DW8(#Z3zV-:,0YY[ddSS9ccJJ/DDWW8(#ZZ3zzVV-:
0klSG?](f>Z,0kkllSSGG?](ff>ZZ
/}Zu,/}ZZuu
HVxNFwZ,HHVVxxNNFFwwZZ
-bXO,-bbXXOO
"{-h6K?=M,5","{-hh6KK?=MM,5"
'	^)?*ke[p);U|}#,'	^)?*kkee[pp);UU|}#
E ~iln)8lv4BlJ~f,EE ~iillnn)8llvv4BBllJJ~ff
"N""PJ","NN""PPJJ"
"K]
gMkc8t,vV3@>FFW<L","KK]
ggMMkkcc8tt,vvVV3@>FFFFWW<LL"
3~,3~
<pr#A&h!+/}Iw60mi>u$,<pprr#AA&hh!!!+/}IIww60mmii>uu$
@[nLr;TW/&1eI3qpFu,@[nnLLrr;TTWW/&1eeII3qqppFFuu
"y=Ywu~{#,","yy=YYwwuu~{#,"
;i,;ii
" )D6^5F{
	Hsy(3VV[M"," )DD6^5FF{
	HHssyy(3VVVV[MM"
kDhwc}QZ+@_/NV,kkDDhhwwcc}QQZZ+@_/NNVV
"_P>Apz~kKLrEo5l""X9y","_PP>AAppzz~kkKKLLrrEEoo5ll""XX9yy"
0X<aO{N,0XX<aaOO{NN
h,hh
] 	r6m]0!<QN_7c ,] 	rr6mm]0!!!<QQNN_7cc 
{`MZ,{`MMZZ
hj[?K@yNG,hhjj[?KK@yyNNGG
cs _IIJ$y?'@<{i,ccss _IIIIJJ$yy?'@<{ii
d{oGCepzQ7[,dd{ooGGCCeeppzzQQ7[
`\Ik[5Bwi1du& phWaC',`\IIkk[5BBwwii1dduu& pphhWWaaCC'
e}An,ee}AAnn
qr\dq;l[>$CV	m.N,qqrr\ddqq;ll[>$CCVV	mm.NN
$D&~}Lt8y3_+!2)+C5+:,$DD&~}LLtt8yy3_+!!!2)+CC5+:
v@SKZe2pB]9o$@:,vv@SSKKZZee2ppBB]9oo$@:
"T,:nb.D.[u d<o13}","TT,:nnbb.DD.[uu dd<oo13}"
~<a@%t*nQo,~<aa@%tt*nnQQoo
Mw:*7'F.gzs$m,MMww:*7'FF.ggzzss$mm
8(,8(
_GQHAx$S,_GGQQHHAAxx$SS
S|D~~35G/97,SS|DD~~35GG/97
-^[Z+db[jJT#Vr	D,-^[ZZ+ddbb[jjJJTT#VVrr	DD
"y<ehTZ%""1HvA","yy<eehhTTZZ%""1HHvvAA"
4OOkw>m5,4OOOOkkww>mm5
Y#,YY#
**&hf7MHJWkv5bsf0=,**&hhff7MMHHJJWWkkvv5bbssff0=
"6=lKgew8&
c","6=llKKggeeww8&
cc"
"52k!+6$3~""oA-yv/W","52kk!!!+6$3~""ooAA-yyvv/WW"
~O,~OO
"XFx""-g{3","XXFFxx""-gg{3"
9:LwKl0SfjV}jqU,9:LLwwKKll0SSffjjVV}jjqqUU
V)u)ag8qMR)|#FVz.*5,VV)uu)aagg8qqMMRR)|#FFVVzz.*5
lYp8S'cFzHL(,llYYpp8SS'ccFFzzHHLL(
D;.fB%F+*mO,DD;.ffBB%FF+*mmOO
[X_LXqK)N~(xY,[XX_LLXXqqKK)NN~(xxYY
"B.'
-","BB.'
-"
"$D$
cG|S!Uu)Y+YPSA9{","$DD$
ccGG|SS!!!UUuu)YY+YYPPSSAA9{"
Gn'#eG,GGnn'#eeGG
