train_input_1,train_output_1,train_output_2
,,0
A,A,1
*,*,1
 ,"
",0
s,s,1
B ,"B
",1
  ,"

",0
 D,"
D",1
ef,ef,2
!!,!!,2
 F ,"
F
",1
T L,"T
L",2
4ps,4ps,3
q  ,"q

",1
   ,"


",0
  e,"

e",1
hi ,"hi
",2
  $  ,"

$

",1
      9,"





9",1
i !i !i !i !i,"i
!i
!i
!i
!i",9
88888888888888888888,88888888888888888888,20
                    ,"



















",0
ssssssssssssssssssss,ssssssssssssssssssss,20
1 1 1 1 1 1 1 1 1 1 ,"1
1
1
1
1
1
1
1
1
1
",10
 v v v v v v v v v v,"
v
v
v
v
v
v
v
v
v
v",10
Ha Ha Ha Ha Ha Ha Ha,"Ha
Ha
Ha
Ha
Ha
Ha
Ha",14
x y!x y!x y!x y!x y!,"x
y!x
y!x
y!x
y!x
y!",15
G5G5G5G5G5G5G5G5G5G5,G5G5G5G5G5G5G5G5G5G5,20
>_=]>_=]>_=]>_=]>_=],>_=]>_=]>_=]>_=]>_=],20
^_^ ^_^ ^_^ ^_^ ^_^ ,"^_^
^_^
^_^
^_^
^_^
",15
U'pz0#0e v}_:,"U'pz0#0e
v}_:",12
"M\;O, cn$TU","M\;O,
cn$TU",10
C ]pz(^Z!@a  )i~,"C
]pz(^Z!@a

)i~",13
"} Y5G  VS9,1 :` pw","}
Y5G

VS9,1
:`
pw",13
JvA f?4SN$c !,"JvA
f?4SN$c
!",11
Y/aV1] ,"Y/aV1]
",6
W %RkD  T  d,"W
%RkD

T

d",7
- EXPME` .o =8` ^.u,"-
EXPME`
.o
=8`
^.u",15
yO.oO? e8` `~,"yO.oO?
e8`
`~",11
D}={1 f5 UK  7,"D}={1
f5
UK

7",10
Fr8!<y @ !,"Fr8!<y
@
!",8
( +ZY  ,"(
+ZY

",4
S<=,S<=,3
M[ `}0;a E uP,"M[
`}0;a
E
uP",10
"o""WrEqU 50'E   ]c=z","o""WrEqU
50'E


]c=z",15
_oS*=<# >=NAfU B   Y,"_oS*=<#
>=NAfU
B


Y",15
]  ,"]

",1
  v_[ c1~S r-lK^,"

v_[
c1~S
r-lK^",12
 MU2,"
MU2",3
