train_input_1,train_output_1
,
a,aay
b,bay
c,cay
d,day
e,eay
i,iay
m,may
o,oay
u,uay
y,yay
z,zay
hello,ellohay
there,heretay
world,orldway
eat,eatay
apple,appleay
yellow,ellowyay
orange,orangeay
umbrella,umbrellaay
ouch,ouchay
in,inay
hello there world,ellohay heretay orldway
out at the plate,outay atay hetay latepay
nap time on planets,apnay imetay onay lanetspay
supercalifragilistic,upercalifragilisticsay
expialidocious,expialidociousay
uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuay
ssssssssssssssssssssssssssssssssssssssssssssssssss,ssssssssssssssssssssssssssssssssssssssssssssssssssay
w w w w w w w w w w w w w w w w w w w w w w w w w,way way way way way way way way way way way way way way way way way way way way way way way way way
e e e e e e e e e e e e e e e e e e e e e e e e e,eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay eay
ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay ahay
x y x y x y x y x y x y x y x y x y x y x y x y x,xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay yay xay
ewld x h i qmgqyvciu zw jnshre e fgn dq pbzs,ewlday xay hay iay mgqyvciuqay wzay nshrejay eay gnfay qday bzspay
pscwptnm mwcnf key r c mbn,scwptnmpay wcnfmay eykay ray cay bnmay
knadoadstlzvadf uykar v,nadoadstlzvadfkay uykaray vay
bgm eenglkonuyczbjp xuvwsjzveqpmpqxb y,gmbay eenglkonuyczbjpay uvwsjzveqpmpqxbxay yay
kyzfa nxjavioqsttos mb clxib txac oxhmk r md sym,yzfakay xjavioqsttosnay bmay lxibcay xactay oxhmkay ray dmay ymsay
fnzuixp n nm qbjpba pvm kenifbxpfpkt vrz,nzuixpfay nay mnay bjpbaqay vmpay enifbxpfpktkay rzvay
vmttkg qnjd,mttkgvay njdqay
owie dj,owieay jday
jkukyilok e xn z g phap kvii ccy,kukyilokjay eay nxay zay gay happay viikay cycay
mqjccdtmfygz,qjccdtmfygzmay
b cvwhfzo xagiswtecenwcmaxcwgkjua,bay vwhfzocay agiswtecenwcmaxcwgkjuaxay
dzvud,zvudday
pt bc wgkmpc,tpay cbay gkmpcway
pwaup ukvmt koopnz,wauppay ukvmtay oopnzkay
dlgtgdq nhzey xfahjivitmioveyltyk ixqif buxf q,lgtgdqday hzeynay fahjivitmioveyltykxay ixqifay uxfbay qay
ohhien wbovtjn dpgpds,ohhienay bovtjnway pgpdsday
whvzgmbnh usa klvcf amap p x xpnte hklxefm,hvzgmbnhway usaay lvcfkay amapay pay xay pntexay klxefmhay
gfldhs m fcf ubze mb gdgiqayly rug,fldhsgay may cffay ubzeay bmay dgiqaylygay ugray
l z x m,lay zay xay may
ozjo oyh dalabh,ozjoay oyhay alabhday
vruxhyrznkfucmhuwnkll l ery t zsqfngl,ruxhyrznkfucmhuwnkllvay lay eryay tay sqfnglzay
lq kwy hs ywqotyzhhylkwhqi,qlay wykay shay wqotyzhhylkwhqiyay
efnx qtfqxnkmzy,efnxay tfqxnkmzyqay
ge e pzga,egay eay zgapay
sdplth cg tphayc wroxm vfp xcz xwvgr,dplthsay gcay phayctay roxmway fpvay czxay wvgrxay
sg xnovr dbe zkbp x elvc pygbzwer,gsay novrxay beday kbpzay xay elvcay ygbzwerpay
fh y c v pmtc exam,hfay yay cay vay mtcpay examay
z tnsiwyvzxu g axwqkyoy r,zay nsiwyvzxutay gay axwqkyoyay ray
fncr ztmlrfypux wx fjko e pwjy goramtgu cjt,ncrfay tmlrfypuxzay xway jkofay eay wjypay oramtgugay jtcay
sqiaplfdl teizdrbe cp,qiaplfdlsay eizdrbetay pcay
fml,mlfay
bhrwiy,hrwiybay
ie c rtlrav j aufadl,ieay cay tlravray jay aufadlay
y xno l t q d k od vt d,yay noxay lay tay qay day kay oday tvay day
xuxynvttiffpfuzul yljzsj xrqbddrdokmgci,uxynvttiffpfuzulxay ljzsjyay rqbddrdokmgcixay
qe aqgehep thldkig gpqbrwl,eqay aqgehepay hldkigtay pqbrwlgay
i lbxkghulpski g unn jwyyo gqc o,iay bxkghulpskilay gay unnay wyyojay qcgay oay
t werqx,tay erqxway
puq bunbrzpcwssad cys zqsfs mlf,uqpay unbrzpcwssadbay yscay qsfszay lfmay
iwcx mx,iwcxay xmay
lltww dkegmjasy z ahkzxeyjt x k,ltwwlay kegmjasyday zay ahkzxeyjtay xay kay
jl ly,ljay ylay
k sblqqcd ursuhljl k ztlzyk p,kay blqqcdsay ursuhljlay kay tlzykzay pay
eitjtvlaz,eitjtvlazay
rrp soz wabrzuzcl gclr m ry r,rpray ozsay abrzuzclway clrgay may yray ray
we luce ar ao lamzfolouiaebmlciq fceayu,eway ucelay aray aoay amzfolouiaebmlciqlay ceayufay
zzm codxzlw z acfrtjbnjkj fu u sfcl,zmzay odxzlwcay zay acfrtjbnjkjay ufay uay fclsay
tugan,ugantay
u yphmqdonijhw zmpx vvdof vlmdwep jgxoz,uay phmqdonijhwyay mpxzay vdofvay lmdwepvay gxozjay
uvexskg voy usjpgk u,uvexskgay oyvay usjpgkay uay
lwwr,wwrlay
rodbxlvmy ab wllm dnmmfgqtor ba,odbxlvmyray abay llmway nmmfgqtorday abay
jeg ukmdezka c bp e iqohqtzk,egjay ukmdezkaay cay pbay eay iqohqtzkay
zuslrchcmxqrhi rmcm,uslrchcmxqrhizay mcmray
wlw r hm sl ry d roh fjz,lwway ray mhay lsay yray day ohray jzfay
zspjwf xlg rz hcx fixk gv vw iakhjsv yjehwl k,spjwfzay lgxay zray cxhay ixkfay vgay wvay iakhjsvay jehwlyay kay
orejl,orejlay
ov x a zifpjurvgqtif whtwjwej yrzja j,ovay xay aay ifpjurvgqtifzay htwjwejway rzjayay jay
vl qilkgg,lvay ilkggqay
dbi plypwb eqmkxldhtqzbl tkbbhouvxgiasjlk hdltq,biday lypwbpay eqmkxldhtqzblay kbbhouvxgiasjlktay dltqhay
s ec e rk tagb favditrftr kufc i,say ecay eay kray agbtay avditrftrfay ufckay iay
qh msnrrik oldksa oir k ip nx hhzambhansr id uurc,hqay snrrikmay oldksaay oiray kay ipay xnay hzambhansrhay iday uurcay
yflahp blk c x hcjcwd ndjs mw zgp kcdsgz,flahpyay lkbay cay xay cjcwdhay djsnay wmay gpzay cdsgzkay
qo hkcxq yr ap,oqay kcxqhay ryay apay
mxmrd oa,xmrdmay oaay
a zpaycnu q q cdihie fvoktul t o,aay paycnuzay qay qay dihiecay voktulfay tay oay
aeshpnylzvuohegvdfa sftihwsvy h zpat,aeshpnylzvuohegvdfaay ftihwsvysay hay patzay
ko jqdhm euwm rc kb gwz,okay qdhmjay euwmay cray bkay wzgay
q plbh i obj cjom,qay lbhpay iay objay jomcay
ny sfdvgdoqyep bnoytdeofnm uire sigeq f,ynay fdvgdoqyepsay noytdeofnmbay uireay igeqsay fay
ruhgaei i cc i rxgora qw ktuzi s,uhgaeiray iay ccay iay xgoraray wqay tuzikay say
xhreykqvx jbqsma s jz yn c jusnbssbfdjp,hreykqvxxay bqsmajay say zjay nyay cay usnbssbfdjpjay
drr vdda sjbjbpfwznfqcww zkeyltehfh zg ey a n,rrday ddavay jbjbpfwznfqcwwsay keyltehfhzay gzay eyay aay nay
xu ss,uxay ssay
elem dlcrieq fzavxw sazjijenrmf isovar,elemay lcrieqday zavxwfay azjijenrmfsay isovaray
o wwjxujiszpzgpmrakxnm yjjv,oay wjxujiszpzgpmrakxnmway jjvyay
vo me,ovay emay
gghmiprdcs g b wpk pi pbae puytvk azgv,ghmiprdcsgay gay bay pkway ipay baepay uytvkpay azgvay
fbu nl su vfwa ldc mfrdokrd gdglr c,bufay lnay usay fwavay dclay frdokrdmay dglrgay cay
hhmmiy w aolemr bus oryp sjxdcyz z xoy,hmmiyhay way aolemray usbay orypay jxdcyzsay zay oyxay
d qklk i,day klkqay iay
ggppo,gppogay
wplp if oqiuj b llabmw d xomohl bsob,plpway ifay oqiujay bay labmwlay day omohlxay sobbay
ryszwqqdot xfkdoofilnz luiavp wzgx,yszwqqdotray fkdoofilnzxay uiavplay zgxway
pmheffsuwiwsbjjgu q yv xfcrru zyfq yyizm co q qj,mheffsuwiwsbjjgupay qay vyay fcrruxay yfqzay yizmyay ocay qay jqay
aeomn e gpy kld anessnvxkvdf,aeomnay eay pygay ldkay anessnvxkvdfay
mzeqez la ca c iwnjebwcpzxcsnvqn cynuwye,zeqezmay alay acay cay iwnjebwcpzxcsnvqnay ynuwyecay
kw opwp,wkay opwpay
nxaxaomqw k dsiqwa dmqjt mgueowtncj,xaxaomqwnay kay siqwaday mqjtday gueowtncjmay
jscnyclegsqiaoing plyqnt,scnyclegsqiaoingjay lyqntpay
klua ard dgasznhlgv uiov gdlkuwpndtnfgarz,luakay arday gasznhlgvday uiovay dlkuwpndtnfgarzgay
pogafd zsw z m egyadqqukrhmepu mniuxhyu j ayw,ogafdpay swzay zay may egyadqqukrhmepuay niuxhyumay jay ayway
k ssqbicgyxyiwy wpi mm,kay sqbicgyxyiwysay piway mmay
tpbjl qyfevg mb vmwoqsu j ysroxkyre k cbqd,pbjltay yfevgqay bmay mwoqsuvay jay sroxkyreyay kay bqdcay
fydhiuld m ji pg wyr z cgb pyq n gzhvtohqi ws,ydhiuldfay may ijay gpay yrway zay gbcay yqpay nay zhvtohqigay sway
zj dxb bybuwyc jtn bn s iicmcpeoxiqr,jzay xbday ybuwycbay tnjay nbay say iicmcpeoxiqray
a mfztqdwmejcc stw dv m wjifoqvt f,aay fztqdwmejccmay twsay vday may jifoqvtway fay
vrjnnxczvbxoxrhicbxjtupgbgs oge,rjnnxczvbxoxrhicbxjtupgbgsvay ogeay
pr se,rpay esay
d yszommsvdax dsctb rt gp xxyxdiwq z,day szommsvdaxyay sctbday tray pgay xyxdiwqxay zay
os v lryqoc fxzqkboa lk,osay vay ryqoclay xzqkboafay klay
ifgdoghqnl c xkuhz vvfqmiswx m mrqx,ifgdoghqnlay cay kuhzxay vfqmiswxvay may rqxmay
wth uu jjm,thway uuay jmjay
hrjs oskcvmbjtf ji hezevy,rjshay oskcvmbjtfay ijay ezevyhay
dfz,fzday
fdbxvs,dbxvsfay
dfbfahmw se f mbijlxnhgewzvxib,fbfahmwday esay fay bijlxnhgewzvxibmay
dwzn qa rx bgzvhzbg a,wznday aqay xray gzvhzbgbay aay
mbkcnhrbmamjsc jnexxtehxglvmb,bkcnhrbmamjscmay nexxtehxglvmbjay
gzomyrt s zdq c ueisuwghthnn rubkn,zomyrtgay say dqzay cay ueisuwghthnnay ubknray
z g ssad dm gq cmwnsfupoyu lv ok q,zay gay sadsay mday qgay mwnsfupoyucay vlay okay qay
dvjrnpsgzykecssufau wk ykvh xztthbnkvc,vjrnpsgzykecssufauday kway kvhyay ztthbnkvcxay
zwqgkqschz,wqgkqschzzay
yise v,iseyay vay
soq,oqsay
bbads sq d dmpki dz,badsbay qsay day mpkiday zday
cqjzdyiwzfb ng b,qjzdyiwzfbcay gnay bay
sxgztphterqt,xgztphterqtsay
iny,inyay
g ge zbwvvprhzcjuurzzmf jio xj,gay egay bwvvprhzcjuurzzmfzay iojay jxay
pn r favf mldu y frxi xwnq eoh vhwjhgmpsr x,npay ray avffay ldumay yay rxifay wnqxay eohay hwjhgmpsrvay xay
rqscktszatz ulms gus w jvio,qscktszatzray ulmsay usgay way viojay
stjgja kxaakgt djcrhhwmc sjt fa,tjgjasay xaakgtkay jcrhhwmcday jtsay afay
qjjteq q pqbrkmncex,jjteqqay qay qbrkmncexpay
t eareinrdsvnmliaezuqumie lbjifb,tay eareinrdsvnmliaezuqumieay bjifblay
w d qbdi o l o odmykxaezlud,way day bdiqay oay lay oay odmykxaezluday
gpvkqb kkgmdgkaxkzpdb j ea,pvkqbgay kgmdgkaxkzpdbkay jay eaay
kth,thkay
en bubil,enay ubilbay
muleeuisp t sie q mr wwwci ik,uleeuispmay tay iesay qay rmay wwciway ikay
iwv btntdcsuo lcdvdwibw cse tjk m a hndimh,iwvay tntdcsuobay cdvdwibwlay secay jktay may aay ndimhhay
xuqr cx s elzbvkc ggu,uqrxay xcay say elzbvkcay gugay
a rcfx bedxu dhd sdycs apdfcgvuldwkb plhoht,aay cfxray edxubay hdday dycssay apdfcgvuldwkbay lhohtpay
ye ooxzkq olx wjl yxek tv,eyay ooxzkqay olxay jlway xekyay vtay
ajpqvrw uxtscuzaxflp ee pj,ajpqvrway uxtscuzaxflpay eeay jpay
